class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
biceps,0.503211141,0.024760067,-0.19764325,0.985245407,0.519520164,0.003167093,-0.167621672,0.988740027,0.529993415,0.006291628,-0.167830497,0.985586226,0.540747344,0.00885725,-0.168208614,0.988914549,0.493424624,0.002832532,-0.167679563,0.984176874,0.485670835,0.003835738,-0.167697862,0.979507387,0.478835255,0.007635653,-0.167891264,0.986254454,0.550502479,0.038851023,-0.038847283,0.984691322,0.465091139,0.041440636,-0.03961391,0.98123312,0.519553065,0.091567665,-0.152675748,0.986461222,0.493564069,0.095365167,-0.152874142,0.983740151,0.61644125,0.236975521,-0.00663662,0.990233064,0.396071702,0.251575619,0.007394465,0.993436754,0.684229672,0.461706817,-0.169493496,0.689954281,0.329691797,0.471901417,-0.168643698,0.941116571,0.754202187,0.333663762,-0.467400163,0.793721616,0.25065282,0.325493813,-0.494970828,0.978970468,0.782449603,0.301952362,-0.511965513,0.740668476,0.223507524,0.289777935,-0.542352319,0.963842213,0.77251637,0.266428679,-0.523341715,0.745842874,0.232948393,0.255596787,-0.535289109,0.961913943,0.760014653,0.273275375,-0.481598407,0.761205912,0.246690139,0.264078319,-0.502062798,0.960386336,0.576803327,0.590055406,0.002494659,0.966541052,0.45853737,0.603393614,-0.002274325,0.978770256,0.587027431,0.847308338,0.047372237,0.402097017,0.440540075,0.881802559,0.061089814,0.492860794,0.597757816,1.045344114,0.402472496,0.042352643,0.468360484,1.080351114,0.408683836,0.074739076,0.589876056,1.074145794,0.43604669,0.073344968,0.480433345,1.102846622,0.441378236,0.060067374,0.627013564,1.131453753,0.328878224,0.044869047,0.476465732,1.179570436,0.301291734,0.048255932
biceps,0.510140777,0.03579139,-0.304055065,0.986548245,0.522943258,0.008731982,-0.278344214,0.989634275,0.533094704,0.011928824,-0.278520972,0.986774802,0.542864501,0.014795339,-0.27878809,0.989737928,0.497135997,0.006110224,-0.277264088,0.985449255,0.489165068,0.006934994,-0.277295262,0.981170237,0.481649905,0.00955092,-0.277429551,0.987233281,0.552481413,0.039530437,-0.126272723,0.986019313,0.465206116,0.041287042,-0.121907733,0.982890785,0.529070795,0.091800317,-0.246860564,0.987720788,0.496181011,0.095285431,-0.24545528,0.985271752,0.619755864,0.239592224,-0.042745676,0.991110981,0.39476335,0.251254022,-0.026090022,0.994014263,0.681574404,0.467522562,-0.207208797,0.717492878,0.329624325,0.471609026,-0.197811753,0.946086824,0.753199697,0.340543568,-0.526308775,0.812796593,0.250745177,0.325914979,-0.543225527,0.980858803,0.78238523,0.305233687,-0.573264539,0.763513863,0.22308208,0.290814668,-0.583933949,0.966858923,0.772526562,0.268278122,-0.568790317,0.768245041,0.232895359,0.256236285,-0.585100293,0.965130508,0.759650052,0.277865022,-0.53245908,0.782366216,0.246823147,0.265001595,-0.55229193,0.963751495,0.569697678,0.662187099,0.002533701,0.968971014,0.445930511,0.667967319,-0.002282647,0.980017185,0.574946046,0.990073681,0.04936178,0.419519603,0.435264707,0.996252835,0.079591349,0.505751371,0.571192145,1.240500689,0.404407382,0.041876636,0.444955558,1.229988813,0.427323312,0.073036507,0.565387845,1.278970122,0.436399072,0.073496453,0.450976789,1.266281843,0.458863378,0.061243396,0.581472754,1.345429897,0.310165226,0.042875938,0.444013268,1.33068347,0.303957969,0.047407538
biceps,0.510702014,0.043071605,-0.548467815,0.987859309,0.523263335,0.012577156,-0.52973175,0.990625083,0.533219278,0.01514439,-0.529887259,0.98804903,0.542878628,0.017701028,-0.530164778,0.990704894,0.497620463,0.009260602,-0.524365187,0.986837626,0.489271551,0.009920751,-0.524445891,0.982973695,0.481577724,0.011913318,-0.524587452,0.988417864,0.554014385,0.039671578,-0.364561409,0.987376034,0.464113921,0.040740125,-0.341278464,0.984554827,0.529821932,0.09237428,-0.483431935,0.988928139,0.496135056,0.095254056,-0.476840824,0.986720026,0.62174809,0.240115955,-0.223451212,0.991898954,0.393294334,0.249221534,-0.176792026,0.994543612,0.682227433,0.467814922,-0.381863445,0.742412686,0.329341888,0.472491801,-0.29862386,0.950675011,0.753073514,0.342336029,-0.709160209,0.828910768,0.250751793,0.326024681,-0.607172668,0.982459903,0.781285048,0.30515331,-0.750421047,0.78159523,0.221700057,0.290820599,-0.633755922,0.969248474,0.772471905,0.268886387,-0.741384864,0.785965443,0.232548252,0.255942166,-0.633745134,0.967691839,0.759526551,0.279267281,-0.710374475,0.798908114,0.246670708,0.264625072,-0.612792075,0.966381431,0.568401933,0.678681195,-0.001156961,0.970748901,0.438308865,0.685313165,0.00159245,0.980810463,0.567684352,1.026576638,0.05279908,0.434430689,0.432714641,1.027517319,0.105154306,0.525725961,0.568193913,1.273166537,0.456350684,0.042379376,0.438381821,1.267455935,0.471087456,0.072706133,0.564522445,1.31066823,0.489910066,0.073400103,0.442512661,1.301611066,0.504287004,0.061549433,0.572785735,1.386327386,0.334931701,0.040918089,0.440616667,1.381821156,0.326974958,0.046919741
biceps,0.510450363,0.046269186,-0.48641929,0.989066541,0.523172736,0.014940274,-0.466169924,0.991551936,0.533199906,0.017320158,-0.466298521,0.989234149,0.542755067,0.019824993,-0.46648106,0.991620302,0.49759686,0.011323888,-0.460583627,0.988139987,0.489275932,0.012022832,-0.460706532,0.984661877,0.481534958,0.013797385,-0.460855633,0.989558458,0.554914773,0.039844129,-0.297766805,0.988630056,0.464106202,0.040769361,-0.272482663,0.98609221,0.529381454,0.09252771,-0.420014381,0.99002862,0.496001363,0.095151357,-0.412783712,0.988039553,0.622809649,0.240268469,-0.151639536,0.992673337,0.392949939,0.248705655,-0.120292574,0.99505949,0.68083632,0.47022444,-0.282986641,0.767395914,0.329037488,0.472838938,-0.237026259,0.955468059,0.752653599,0.344437242,-0.613463223,0.845824063,0.250870675,0.327931911,-0.451782256,0.98419261,0.780956268,0.305106699,-0.607602656,0.802974284,0.221170112,0.291443706,-0.464121878,0.972241402,0.772040665,0.268645257,-0.593736351,0.806917787,0.232106134,0.257301033,-0.469444841,0.970841527,0.759271204,0.279299915,-0.588655949,0.818641186,0.24638325,0.266037971,-0.45677349,0.969666481,0.566040456,0.701622844,-0.001008456,0.973570406,0.432923317,0.708670497,0.001558923,0.98263526,0.552926719,1.066653013,0.007736999,0.44730407,0.429127306,1.08146584,0.104519211,0.53844285,0.545287669,1.339362144,0.430078536,0.038874641,0.427120417,1.343417406,0.464555591,0.066322185,0.545817018,1.376800895,0.465913087,0.0676644,0.426965952,1.380505323,0.500294864,0.056440093,0.53168577,1.464263797,0.300287724,0.037149411,0.435952872,1.459843278,0.327334762,0.042747293
biceps,0.512242019,0.047341838,-0.378287733,0.990157485,0.524802148,0.016040651,-0.357520729,0.992393315,0.534509122,0.018106306,-0.357685417,0.990307927,0.543881059,0.020507876,-0.357866496,0.992454052,0.498720258,0.012868389,-0.353192091,0.989322007,0.490048468,0.013510915,-0.353285849,0.986191988,0.481868505,0.014991182,-0.353450447,0.990597785,0.557580471,0.039767306,-0.202155501,0.989765167,0.464156926,0.040653132,-0.186727166,0.987481296,0.531022072,0.092324741,-0.318591237,0.991023421,0.49679625,0.094069228,-0.314051837,0.989232779,0.624060214,0.239816934,-0.107698105,0.993387103,0.392894387,0.24870944,-0.093562715,0.99553889,0.680768371,0.470001608,-0.222414315,0.790357232,0.329016328,0.473733008,-0.220134705,0.95985043,0.752305806,0.344073474,-0.60536176,0.861180365,0.250968069,0.328300297,-0.556846678,0.985764325,0.779915452,0.303813398,-0.601535022,0.822553396,0.220999435,0.291754812,-0.590266168,0.974985838,0.770725906,0.268069685,-0.58172971,0.826103389,0.232038975,0.258276641,-0.59057349,0.973725736,0.758736968,0.279248595,-0.57165271,0.836664677,0.24638091,0.266523898,-0.563567638,0.972668469,0.567154944,0.715707958,0.00527532,0.976179659,0.433872521,0.720148921,-0.004500957,0.984346271,0.559068441,1.081416368,-0.038504016,0.490264714,0.428005755,1.066930175,0.050885241,0.574273765,0.556802392,1.357163668,0.333529741,0.037139859,0.428085625,1.382449627,0.412562847,0.062542416,0.554904997,1.39345479,0.36493063,0.06394919,0.427916914,1.421563148,0.446758509,0.053007409,0.549340785,1.483333349,0.220345691,0.034135234,0.435170829,1.495611072,0.274751663,0.039362926
biceps,0.512231588,0.050520081,-0.382270575,0.991140187,0.525346756,0.018943213,-0.364502907,0.993152142,0.534893274,0.020720717,-0.364609957,0.991275012,0.544142663,0.022787984,-0.364683539,0.993206084,0.498797894,0.015299046,-0.359066516,0.990387917,0.489998251,0.015584518,-0.359131694,0.987570465,0.481806129,0.016552404,-0.359257072,0.991535604,0.559235573,0.03989052,-0.207277715,0.99078685,0.464246452,0.040303197,-0.184693202,0.988731921,0.530891418,0.093186356,-0.320086271,0.991919935,0.496754795,0.094105549,-0.313511193,0.990308404,0.625027597,0.239456087,-0.092339784,0.99402833,0.392920166,0.24878487,-0.071329206,0.995971203,0.681515217,0.469851077,-0.225629687,0.810568213,0.329019457,0.476261139,-0.213477254,0.963649094,0.75221628,0.341865361,-0.560907423,0.874931514,0.250864923,0.328773111,-0.543221235,0.987157345,0.779863715,0.302187085,-0.588907778,0.839979053,0.220734298,0.291950226,-0.579526603,0.977385163,0.77047807,0.266349018,-0.581709385,0.843172252,0.232001066,0.25885731,-0.579646111,0.976251721,0.758671403,0.277460515,-0.555822909,0.85269326,0.246364534,0.267014563,-0.549878001,0.975298166,0.572950363,0.727847159,0.004784569,0.978443921,0.43617174,0.734355927,-0.003912515,0.985820353,0.572672486,1.028664112,-0.024567006,0.515029609,0.428622305,1.09386754,0.101341046,0.591040313,0.562147141,1.353703976,0.311964065,0.037346244,0.429221809,1.378408313,0.428964376,0.062286712,0.559299707,1.387483835,0.339735657,0.063076288,0.430524141,1.418421745,0.458992749,0.051833656,0.553551257,1.484601974,0.194330588,0.032707904,0.434812665,1.494548678,0.281055629,0.037917618
biceps,0.513103724,0.055889904,-0.356165111,0.992023349,0.525857449,0.024436727,-0.336763978,0.99383384,0.53521353,0.026055237,-0.336896956,0.992143989,0.544267058,0.027791148,-0.337039948,0.993881643,0.499037057,0.020376604,-0.332097024,0.991345704,0.490088463,0.020196477,-0.332150251,0.98880899,0.481783539,0.02043898,-0.332298905,0.992377818,0.559340119,0.041309301,-0.183460936,0.991705418,0.464423001,0.040508453,-0.168022841,0.989856064,0.531473339,0.094357282,-0.297340393,0.992726088,0.497142971,0.094716124,-0.293025732,0.991275489,0.625478745,0.239718363,-0.089284487,0.994605124,0.392936319,0.249401256,-0.055015109,0.996355236,0.682086647,0.46998167,-0.234662488,0.82847935,0.328799367,0.477294922,-0.219458118,0.96699357,0.752194524,0.341813266,-0.584381104,0.887270629,0.250848353,0.328813016,-0.594823778,0.988408625,0.778939426,0.303009123,-0.627209246,0.855602026,0.220334545,0.291309595,-0.638948381,0.979540229,0.770183265,0.268069267,-0.624615788,0.858477116,0.231796339,0.258809686,-0.631598473,0.978521109,0.758649886,0.278959036,-0.58821559,0.867061079,0.246317521,0.26700452,-0.601022661,0.977656126,0.57358712,0.744881749,0.005029779,0.980494857,0.435702711,0.743946135,-0.004185113,0.987149477,0.566711307,1.104980707,-0.039390616,0.527957678,0.427909762,1.115335226,0.094899833,0.598883986,0.558810949,1.387473822,0.288701057,0.03656546,0.422264874,1.406742096,0.421921641,0.061364654,0.556995273,1.419317126,0.316530317,0.060954306,0.423580945,1.447259903,0.450894743,0.049715284,0.546693027,1.524564266,0.169207066,0.031196216,0.425196409,1.525415182,0.27422002,0.036454279
biceps,0.51291424,0.054963209,-0.306749493,0.992812395,0.525691032,0.024111671,-0.299477875,0.994441748,0.534944057,0.025594261,-0.299680382,0.992919803,0.543715537,0.027252596,-0.299877256,0.99448365,0.498979002,0.020821933,-0.287271023,0.992200792,0.490106434,0.020710511,-0.287270039,0.989914358,0.481962025,0.020920511,-0.287455559,0.993127644,0.558030128,0.040365033,-0.182562903,0.9925282,0.466039062,0.040162396,-0.120916538,0.990862012,0.531158149,0.093793891,-0.253780544,0.993448734,0.497094035,0.093458042,-0.238968685,0.992141664,0.625323296,0.239715785,-0.084402904,0.995119154,0.394054681,0.245048478,-0.013918823,0.996694088,0.682718575,0.470772117,-0.237099737,0.844046116,0.330886662,0.477247894,-0.175497279,0.969739497,0.752324045,0.342075109,-0.571597278,0.898125112,0.251954794,0.330485761,-0.56344825,0.989496827,0.778550327,0.30325371,-0.617265344,0.869219482,0.220465019,0.292790025,-0.613729894,0.981390476,0.770120978,0.269045383,-0.613185585,0.871805787,0.231781453,0.259416103,-0.6222229,0.980476856,0.75866425,0.280136734,-0.576116204,0.879510164,0.246701166,0.26740995,-0.578772843,0.979674876,0.573596001,0.750162601,-0.005189019,0.982280672,0.435193479,0.749003649,0.005854575,0.988283038,0.564414322,1.121727586,-0.083241984,0.545614183,0.426672429,1.122803688,0.091340803,0.607243896,0.554943383,1.409301162,0.209750399,0.040874392,0.419357985,1.417070985,0.395327896,0.066282749,0.552142084,1.439053774,0.233474106,0.06221839,0.423064053,1.457188964,0.422930956,0.051169906,0.545945764,1.548213601,0.092527598,0.03279651,0.410939217,1.534056664,0.262945652,0.038247373
biceps,0.511435211,0.054065011,-0.283319294,0.99352175,0.524530172,0.023858655,-0.2770468,0.994988143,0.533903182,0.025261905,-0.27726534,0.993617654,0.542576313,0.026890073,-0.277468681,0.9950248,0.498280972,0.021142852,-0.262787402,0.992969513,0.489824593,0.021107685,-0.262772292,0.990908742,0.481927902,0.02134374,-0.26298064,0.993801713,0.556558967,0.040302537,-0.180504918,0.993266702,0.466686219,0.040035404,-0.098242208,0.991767287,0.530469656,0.091442086,-0.234412372,0.994097829,0.496131122,0.091255374,-0.216260061,0.992919564,0.625193179,0.239708275,-0.07798291,0.995573342,0.396387756,0.243056744,0.001881783,0.996996641,0.682730913,0.473605216,-0.247166157,0.857598901,0.331596702,0.477249384,-0.114392526,0.972166598,0.752394736,0.341803819,-0.601475358,0.907765031,0.252119422,0.33032766,-0.420787662,0.990459442,0.778530777,0.303240091,-0.650928795,0.881312311,0.221419573,0.291365057,-0.460069448,0.983009219,0.770127714,0.268722475,-0.647060275,0.883633435,0.232039511,0.258509845,-0.461105913,0.982192695,0.758667767,0.279288232,-0.607550502,0.890535772,0.24679853,0.266845703,-0.430646956,0.981445372,0.574399531,0.75344193,-0.008832024,0.983831346,0.435736656,0.75379312,0.009432923,0.989238143,0.565118909,1.130921841,-0.07705497,0.559980273,0.424758971,1.129951119,0.080268532,0.614999712,0.553663373,1.424840093,0.196538568,0.046293754,0.418373972,1.427644849,0.337988824,0.072737209,0.549987614,1.455246687,0.217827097,0.06358061,0.424208194,1.468216181,0.361686051,0.053514197,0.547142863,1.563971758,0.0770749,0.034887243,0.404657781,1.544956326,0.204990938,0.040829025
biceps,0.511270523,0.054381348,-0.290467978,0.994163156,0.524432123,0.024555806,-0.279320419,0.995482385,0.533684611,0.025854871,-0.279523075,0.994248688,0.542229533,0.027469587,-0.279750645,0.995514214,0.498304695,0.021943165,-0.268435717,0.993665218,0.490010649,0.021641921,-0.268440634,0.99180907,0.482304811,0.021596011,-0.268634379,0.994413078,0.555974185,0.040358119,-0.172161996,0.993934155,0.467660815,0.039482716,-0.105205074,0.992585361,0.530004978,0.091197222,-0.239265114,0.994683683,0.495871156,0.090160027,-0.224734485,0.99362272,0.625136018,0.239451855,-0.077464893,0.995990038,0.396254897,0.239889696,-0.006049534,0.997280538,0.682803392,0.475081593,-0.242618993,0.87036413,0.331383705,0.476987988,-0.132393658,0.974626005,0.751731157,0.345028967,-0.598031878,0.916585326,0.252052814,0.330272764,-0.445571154,0.991360307,0.778008282,0.306126028,-0.648543239,0.892459929,0.221438929,0.291455537,-0.486993045,0.984558523,0.769965649,0.271694154,-0.649258256,0.894553602,0.231981561,0.258527696,-0.487120956,0.983830094,0.758016586,0.283671826,-0.606007159,0.900739074,0.246750236,0.266743809,-0.4548015,0.983141959,0.574877024,0.75525105,-0.008002129,0.985238492,0.435786664,0.757265806,0.008590467,0.990158796,0.566595376,1.12471509,-0.064004406,0.579167783,0.428117037,1.135281682,0.074956864,0.626305461,0.555777252,1.422927618,0.21141164,0.051082741,0.420986265,1.440968037,0.336888164,0.076988488,0.551550984,1.452615976,0.233603254,0.06543953,0.426629364,1.481550455,0.361274004,0.055660278,0.551130891,1.564311743,0.092352264,0.036668591,0.411492854,1.558474183,0.201126769,0.042089894
